date,time,symbol,action,shares,price,status,cash_after
2026-06-19,09:05,2492,BUY,300,399,FILLED,380300
2026-06-19,09:05,9341,BUY,200,588,FILLED,262700
2026-06-19,09:05,6184,BUY,200,495,FILLED,163700
2026-06-19,09:05,2317,SHORT,200,400,FILLED,243700
2026-06-19,09:05,6619,SHORT,400,192,FILLED,320500
2026-06-19,09:05,2749,SHORT,100,579,FILLED,378400
2026-06-22,09:05,2471,BUY,100,255,FILLED,352900
2026-06-22,09:05,8095,BUY,100,508,FILLED,302100
2026-06-22,09:05,543,SHORT,100,,UNFILLED,302100
2026-06-23,09:05,9501,SHORT,100,470,UNFILLED,302100
2026-06-23,09:05,4755,SHORT,100,710,UNFILLED,302100
2026-06-23,09:05,8346,BUY,100,766,FILLED,225500
2026-06-24,09:05,2492,SELL,300,374,FILLED,337700
2026-06-24,09:05,6184,SELL,200,465,FILLED,430700
2026-06-24,09:05,3315,SHORT,200,92,FILLED,449100
2026-06-24,09:05,9501,SHORT,100,465,UNFILLED,449100
2026-06-24,09:05,4714,BUY,100,195,FILLED,429600
2026-06-26,09:05,6619,COVER,400,175,FILLED,359600
2026-06-26,09:05,2317,COVER,200,389,FILLED,281800
2026-06-26,09:05,2749,COVER,100,565,FILLED,225300
2026-06-29,08:30,3315,COVER,200,,WAIT,225300
2026-06-29,08:30,8848,BUY,100,,WAIT,225300
2026-06-29,08:30,7201,SHORT,100,,WAIT,225300
